system:index,NDVI,date,.geo
2010_03_22,3261.935192391503,2010-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_07,3083.8967625964183,2010-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_04_23,3124.0980326521203,2010-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_09,3146.717655771698,2010-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_05_25,3097.3170148035633,2010-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_10,3291.0858378960556,2010-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_06_26,3585.9982698147583,2010-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_12,3735.803595498167,2010-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_07_28,4609.750887823901,2010-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_13,4961.347707854618,2010-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_08_29,5304.520120134901,2010-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_14,6123.444331589276,2010-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_09_30,5986.194753524012,2010-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_10_16,5520.431391755747,2010-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_01,5223.483933645396,2010-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_11_17,5121.623545524974,2010-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_03,5028.774548024721,2010-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2010_12_19,4953.622153749738,2010-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_01,4870.209330695201,2011-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_01_17,4769.347349125501,2011-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_02,4708.287518901331,2011-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_02_18,4569.898115653959,2011-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_06,4195.854540579004,2011-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_03_22,3709.0205773069392,2011-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_07,3456.3217152784687,2011-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_04_23,3496.4999192267856,2011-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_09,3432.3240038279782,2011-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_05_25,3539.1810332826576,2011-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_10,3443.9514525799723,2011-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_06_26,3715.6123474954684,2011-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_12,3862.145378917674,2011-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_07_28,4176.353236685231,2011-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_13,4866.5967792511865,2011-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_08_29,5365.523495693091,2011-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_14,6073.001525471585,2011-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_09_30,6017.61770541857,2011-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_10_16,5485.001577859794,2011-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_01,5074.15052149525,2011-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_11_17,4756.0224202585205,2011-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_03,4643.275049933582,2011-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2011_12_19,4579.9889933564145,2011-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01,4699.39080429509,2012-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_17,4633.341209996226,2012-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_02,4499.0946309443425,2012-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_02_18,4229.998323839691,2012-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_03_05,3804.0086496035346,2012-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_03_21,3396.283961231043,2012-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_06,3344.3566003956657,2012-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_04_22,3327.5342732497006,2012-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_05_08,3359.952111390191,2012-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
